91 Lê Lợi, Đức Hòa, Tây Ninh
216 Phan Đình Phùng, Ngũ Hành Sơn, Đà Nẵng
437 Đinh Tiên Hoàng, Điện Biên Phủ, Điện Biên
26 Phan Đình Phùng, Ngũ Hành Sơn, Đà Nẵng
505 Quang Trung, Krông Pắc, Đắk Lắk
197 Lý Thường Kiệt, Mai Sơn, Sơn La
950 Hoàng Văn Thụ, Chư Păh, Gia Lai
659 Phan Đình Phùng, Đông Hà, Quảng Trị
610 Nguyễn Trãi, Sơn Trà, Đà Nẵng
762 Trần Phú, Ngũ Hành Sơn, Đà Nẵng
708 Phan Chu Trinh, Sa Đéc, Đồng Tháp
898 Nguyễn Thái Học, Đức Phổ, Quảng Ngãi
62 Hoàng Văn Thụ, Vĩnh Linh, Quảng Trị
998 Hai Bà Trưng, Uông Bí, Quảng Ninh
445 Hoàng Văn Thụ, Nghi Sơn, Thanh Hóa
51 Lê Lợi, Ngũ Hành Sơn, Đà Nẵng
164 Lê Duẩn, Chư Păh, Gia Lai
426 Lý Thường Kiệt, Cửa Lò, Nghệ An
85 Hai Bà Trưng, Từ Sơn, Bắc Ninh
542 Trần Phú, Hoa Lư, Ninh Bình
782 Trần Phú, Hương Trà, Huế
118 Quang Trung, Nghi Sơn, Thanh Hóa
138 Nguyễn Trãi, Thanh Hóa, Thanh Hóa
318 Lê Lợi, Đầm Dơi, Cà Mau
122 Hai Bà Trưng, Thái Nguyên, Thái Nguyên
243 Hai Bà Trưng, Sầm Sơn, Thanh Hóa
771 Phạm Văn Đồng, Hồng Ngự, Đồng Tháp
304 Phan Đình Phùng, Thuận Châu, Sơn La
915 Nguyễn Trãi, Tịnh Biên, An Giang
547 Phan Đình Phùng, Thuận Hóa, Huế
463 Đinh Tiên Hoàng, Hồng Bàng, Hải Phòng
544 Quang Trung, Tịnh Biên, An Giang
873 Cách Mạng Tháng Tám, Bỉm Sơn, Thanh Hóa
374 Lý Thường Kiệt, Lâm Thao, Phú Thọ
129 Đinh Tiên Hoàng, Sa Pa, Lào Cai
138 Võ Thị Sáu, Lâm Thao, Phú Thọ
328 Nguyễn Thái Học, Long Xuyên, An Giang
667 Hai Bà Trưng, Phổ Yên, Thái Nguyên
195 Nguyễn Trãi, Nguyên Bình, Cao Bằng
781 Nguyễn Thái Học, Ô Môn, Cần Thơ
775 Phan Đình Phùng, Chi Lăng, Lạng Sơn
298 Nguyễn Du, Đức Hòa, Tây Ninh
738 Quang Trung, Lâm Thao, Phú Thọ
747 Cách Mạng Tháng Tám, Mộc Hóa, Tây Ninh
243 Trần Hưng Đạo, Đức Hòa, Tây Ninh
869 Quang Trung, Chư Păh, Gia Lai
124 Hoàng Văn Thụ, Hồng Bàng, Hải Phòng
419 Lê Duẩn, Thanh Sơn, Phú Thọ
924 Cách Mạng Tháng Tám, Châu Đốc, An Giang
947 Nguyễn Du, Ayun Pa, Gia Lai
217 Lê Duẩn, Cao Bằng, Cao Bằng
678 Trần Phú, Thanh Hóa, Thanh Hóa
248 Nguyễn Thái Học, Cà Mau, Cà Mau
698 Võ Thị Sáu, Đức Trọng, Lâm Đồng
245 Nguyễn Du, Long Xuyên, An Giang
509 Quang Trung, Thái Nguyên, Thái Nguyên
622 Nguyễn Văn Cừ, Vinh, Nghệ An
149 Lê Duẩn, Than Uyên, Lai Châu
628 Đinh Tiên Hoàng, Ngô Quyền, Hải Phòng
621 Nguyễn Văn Cừ, Đức Trọng, Lâm Đồng
938 Nguyễn Trãi, Diễn Châu, Nghệ An
309 Lê Duẩn, Quảng Trị, Quảng Trị
464 Quang Trung, Tịnh Biên, An Giang
41 Trần Hưng Đạo, Nghi Sơn, Thanh Hóa
431 Hai Bà Trưng, Mỹ Hào, Hưng Yên
469 Nguyễn Du, Diễn Châu, Nghệ An
257 Nguyễn Huệ, Di Linh, Lâm Đồng
955 Lê Duẩn, Ngũ Hành Sơn, Đà Nẵng
418 Lê Lợi, Lê Chân, Hải Phòng
266 Nguyễn Du, Ngô Quyền, Hải Phòng
722 Nguyễn Du, Thuận Châu, Sơn La
515 Nguyễn Văn Cừ, Mộc Châu, Sơn La
503 Võ Thị Sáu, Hưng Yên, Hưng Yên
549 Nguyễn Du, Lâm Thao, Phú Thọ
31 Quang Trung, Vĩnh Long, Vĩnh Long
21 Phan Đình Phùng, Nhơn Trạch, Đồng Nai
471 Hai Bà Trưng, Đức Hòa, Tây Ninh
484 Trần Phú, Ninh Kiều, Cần Thơ
351 Lê Duẩn, Ô Môn, Cần Thơ
293 Trần Phú, Bình Thủy, Cần Thơ
959 Phan Đình Phùng, Nghi Lộc, Nghệ An
261 Trần Phú, Đông Hà, Quảng Trị
802 Phan Đình Phùng, Điện Biên, Điện Biên
327 Phan Đình Phùng, Hoa Lư, Ninh Bình
840 Lý Thường Kiệt, Tân An, Tây Ninh
437 Nguyễn Du, Hữu Lũng, Lạng Sơn
737 Trần Phú, Pleiku, Gia Lai
940 Võ Thị Sáu, Ngũ Hành Sơn, Đà Nẵng
867 Quang Trung, Thái Nguyên, Thái Nguyên
913 Trần Phú, Hồng Lĩnh, Hà Tĩnh
764 Lê Lợi, Mỹ Hào, Hưng Yên
120 Phạm Văn Đồng, Uông Bí, Quảng Ninh
913 Trần Phú, Cà Mau, Cà Mau
74 Hai Bà Trưng, Mộc Châu, Sơn La
125 Lê Duẩn, Hương Trà, Huế
214 Quang Trung, Tuần Giáo, Điện Biên
724 Hoàng Văn Thụ, Nghi Xuân, Hà Tĩnh
532 Nguyễn Huệ, Thuận Châu, Sơn La
226 Lê Duẩn, Thuận Châu, Sơn La
299 Trần Hưng Đạo, Kim Sơn, Ninh Bình
312 Trần Phú, Vĩnh Long, Vĩnh Long
465 Phan Đình Phùng, Phong Thổ, Lai Châu
909 Hai Bà Trưng, Mộc Châu, Sơn La
241 Nguyễn Huệ, Hòa An, Cao Bằng
993 Hai Bà Trưng, Vĩnh Long, Vĩnh Long
410 Nguyễn Du, Thanh Hóa, Thanh Hóa
899 Phan Chu Trinh, Lấp Vò, Đồng Tháp
170 Võ Thị Sáu, Thuận Hóa, Huế
7 Nguyễn Huệ, Trảng Bom, Đồng Nai
760 Nguyễn Thái Học, Phú Thọ, Phú Thọ
855 Hai Bà Trưng, Vinh, Nghệ An
525 Trần Phú, Sầm Sơn, Thanh Hóa
87 Trần Phú, Quế Võ, Bắc Ninh
936 Nguyễn Thái Học, Sa Pa, Lào Cai
814 Trần Hưng Đạo, Khoái Châu, Hưng Yên
293 Hoàng Văn Thụ, Pleiku, Gia Lai
46 Quang Trung, Đà Lạt, Lâm Đồng
872 Lê Lợi, Nghi Lộc, Nghệ An
638 Nguyễn Trãi, Kiến An, Hải Phòng
92 Nguyễn Huệ, Cao Lãnh, Đồng Tháp
461 Nguyễn Thái Học, Hương Thủy, Huế
451 Lý Thường Kiệt, Đại Từ, Thái Nguyên
331 Quang Trung, Lâm Thao, Phú Thọ
720 Cách Mạng Tháng Tám, Tam Đường, Lai Châu
580 Trần Hưng Đạo, Cao Bằng, Cao Bằng
130 Quang Trung, Mỹ Hào, Hưng Yên
416 Lý Thường Kiệt, Phú Thọ, Phú Thọ
707 Trần Phú, Thanh Sơn, Phú Thọ
449 Trần Phú, Điện Biên Phủ, Điện Biên
370 Nguyễn Huệ, Hàm Yên, Tuyên Quang
220 Trần Phú, Mường Lay, Điện Biên
214 Trần Phú, Đà Lạt, Lâm Đồng
505 Trần Hưng Đạo, Ngũ Hành Sơn, Đà Nẵng
871 Nguyễn Trãi, Cao Lãnh, Đồng Tháp
123 Nguyễn Trãi, Tam Đường, Lai Châu
864 Cách Mạng Tháng Tám, Bỉm Sơn, Thanh Hóa
574 Lý Thường Kiệt, Vĩnh Long, Vĩnh Long
982 Võ Thị Sáu, Lâm Thao, Phú Thọ
121 Trần Phú, Điện Biên Phủ, Điện Biên
442 Trần Hưng Đạo, Ngũ Hành Sơn, Đà Nẵng
858 Trần Phú, Buôn Ma Thuột, Đắk Lắk
776 Lê Duẩn, Phú Xuân, Huế
137 Nguyễn Thái Học, Lâm Thao, Phú Thọ
329 Nguyễn Văn Cừ, Ngũ Hành Sơn, Đà Nẵng
741 Cách Mạng Tháng Tám, Đại Từ, Thái Nguyên
587 Phan Chu Trinh, Sơn Trà, Đà Nẵng
718 Nguyễn Trãi, Châu Đốc, An Giang
145 Lê Duẩn, Khoái Châu, Hưng Yên
883 Trần Hưng Đạo, Đà Lạt, Lâm Đồng
332 Quang Trung, Cao Bằng, Cao Bằng
398 Phạm Văn Đồng, Yên Sơn, Tuyên Quang
454 Trần Hưng Đạo, Thuận Châu, Sơn La
708 Trần Phú, Tịnh Biên, An Giang
223 Trần Phú, Phú Thọ, Phú Thọ
134 Quang Trung, Tuyên Quang, Tuyên Quang
16 Đinh Tiên Hoàng, Châu Thành, An Giang
793 Lê Duẩn, Thái Nguyên, Thái Nguyên
512 Phan Đình Phùng, Lấp Vò, Đồng Tháp
87 Nguyễn Huệ, Đức Trọng, Lâm Đồng
653 Cách Mạng Tháng Tám, Cao Lãnh, Đồng Tháp
157 Lê Duẩn, Từ Sơn, Bắc Ninh
139 Nguyễn Du, Hòa An, Cao Bằng
732 Võ Thị Sáu, Lạng Sơn, Lạng Sơn
544 Lê Duẩn, Trần Văn Thời, Cà Mau
5 Đinh Tiên Hoàng, Phong Thổ, Lai Châu
57 Nguyễn Văn Cừ, Uông Bí, Quảng Ninh
679 Trần Phú, Cà Mau, Cà Mau
253 Lê Duẩn, Lào Cai, Lào Cai
940 Võ Thị Sáu, Hồng Bàng, Hải Phòng
978 Nguyễn Trãi, Tuyên Quang, Tuyên Quang
382 Lê Lợi, Kiến An, Hải Phòng
701 Phan Chu Trinh, Phổ Yên, Thái Nguyên
400 Đinh Tiên Hoàng, Khoái Châu, Hưng Yên
782 Nguyễn Thái Học, Phú Thọ, Phú Thọ
513 Nguyễn Huệ, Lai Châu, Lai Châu
378 Nguyễn Du, Sơn Tịnh, Quảng Ngãi
152 Trần Phú, Cái Răng, Cần Thơ
179 Trần Phú, Hải Châu, Đà Nẵng
163 Võ Thị Sáu, Đức Phổ, Quảng Ngãi
90 Đinh Tiên Hoàng, Mai Sơn, Sơn La
20 Lý Thường Kiệt, Hòa An, Cao Bằng
770 Đinh Tiên Hoàng, Mộc Hóa, Tây Ninh
932 Lê Lợi, Vinh, Nghệ An
260 Nguyễn Du, Cao Lộc, Lạng Sơn
680 Lê Lợi, Ea Kar, Đắk Lắk
785 Võ Thị Sáu, Phong Thổ, Lai Châu
818 Lê Duẩn, Mang Thít, Vĩnh Long
597 Trần Hưng Đạo, Móng Cái, Quảng Ninh
409 Trần Phú, Sầm Sơn, Thanh Hóa
842 Trần Hưng Đạo, Cao Bằng, Cao Bằng
381 Võ Thị Sáu, Lào Cai, Lào Cai
985 Phan Chu Trinh, Tư Nghĩa, Quảng Ngãi
887 Hoàng Văn Thụ, Hồng Ngự, Đồng Tháp
498 Nguyễn Huệ, Nghi Xuân, Hà Tĩnh
337 Lý Thường Kiệt, Long Khánh, Đồng Nai
366 Hoàng Văn Thụ, Sa Pa, Lào Cai
863 Hoàng Văn Thụ, Yên Sơn, Tuyên Quang
761 Trần Phú, Uông Bí, Quảng Ninh
831 Đinh Tiên Hoàng, Tuyên Quang, Tuyên Quang
287 Hoàng Văn Thụ, Cà Mau, Cà Mau
593 Nguyễn Huệ, Châu Thành, An Giang
132 Lê Duẩn, Tân An, Tây Ninh
29 Nguyễn Thái Học, Hương Trà, Huế
28 Nguyễn Văn Cừ, Cam Ranh, Khánh Hòa
490 Nguyễn Văn Cừ, Điện Biên Phủ, Điện Biên
349 Phan Đình Phùng, Bảo Lộc, Lâm Đồng
715 Trần Phú, Nguyên Bình, Cao Bằng
757 Phan Đình Phùng, Hải Châu, Đà Nẵng
146 Lý Thường Kiệt, Pleiku, Gia Lai
720 Phan Đình Phùng, Lai Châu, Lai Châu
552 Lê Lợi, Ngũ Hành Sơn, Đà Nẵng
387 Lê Lợi, Pleiku, Gia Lai
89 Phan Chu Trinh, Sầm Sơn, Thanh Hóa
41 Trần Phú, Bảo Lộc, Lâm Đồng
436 Nguyễn Huệ, Mang Thít, Vĩnh Long
490 Trần Hưng Đạo, Kim Sơn, Ninh Bình
335 Lê Lợi, Cẩm Phả, Quảng Ninh
272 Hai Bà Trưng, Vinh, Nghệ An
988 Trần Phú, Từ Sơn, Bắc Ninh
59 Nguyễn Du, Hải Châu, Đà Nẵng
455 Phan Chu Trinh, Nhơn Trạch, Đồng Nai
128 Nguyễn Trãi, Quảng Trị, Quảng Trị
840 Hai Bà Trưng, Vĩnh Linh, Quảng Trị
397 Cách Mạng Tháng Tám, Từ Sơn, Bắc Ninh
163 Lê Lợi, Đức Trọng, Lâm Đồng
701 Lý Thường Kiệt, Trùng Khánh, Cao Bằng
15 Phan Đình Phùng, Hà Tĩnh, Hà Tĩnh
666 Phạm Văn Đồng, Bình Minh, Vĩnh Long
173 Lê Lợi, Chi Lăng, Lạng Sơn
118 Đinh Tiên Hoàng, Lạng Sơn, Lạng Sơn
55 Hai Bà Trưng, U Minh, Cà Mau
930 Nguyễn Huệ, Pleiku, Gia Lai
311 Nguyễn Huệ, Tân An, Tây Ninh
340 Quang Trung, Trảng Bom, Đồng Nai
906 Nguyễn Văn Cừ, Vĩnh Linh, Quảng Trị
10 Cách Mạng Tháng Tám, Kiến An, Hải Phòng
706 Trần Phú, Hồng Ngự, Đồng Tháp
394 Phan Đình Phùng, Gio Linh, Quảng Trị
687 Đinh Tiên Hoàng, Phú Xuân, Huế
859 Lê Lợi, Krông Pắc, Đắk Lắk
938 Nguyễn Huệ, Ea Kar, Đắk Lắk
839 Lê Lợi, Sa Đéc, Đồng Tháp
484 Nguyễn Du, Sơn Trà, Đà Nẵng
96 Lý Thường Kiệt, Ninh Kiều, Cần Thơ
683 Nguyễn Thái Học, Mỹ Hào, Hưng Yên
172 Hoàng Văn Thụ, Hải Châu, Đà Nẵng
301 Lý Thường Kiệt, Hương Thủy, Huế
535 Trần Phú, Hữu Lũng, Lạng Sơn
821 Cách Mạng Tháng Tám, Chư Păh, Gia Lai
682 Hoàng Văn Thụ, Vinh, Nghệ An
975 Phạm Văn Đồng, Thanh Khê, Đà Nẵng
519 Lý Thường Kiệt, Cam Ranh, Khánh Hòa
403 Đinh Tiên Hoàng, Quế Võ, Bắc Ninh
884 Võ Thị Sáu, Cao Lãnh, Đồng Tháp
809 Trần Hưng Đạo, Cao Lãnh, Đồng Tháp
606 Hoàng Văn Thụ, Yên Sơn, Tuyên Quang
871 Nguyễn Huệ, Kiến An, Hải Phòng
646 Quang Trung, Sơn Tịnh, Quảng Ngãi
655 Cách Mạng Tháng Tám, Lạng Sơn, Lạng Sơn
391 Trần Phú, Vĩnh Linh, Quảng Trị
929 Lê Lợi, Nha Trang, Khánh Hòa
308 Lê Duẩn, Đại Từ, Thái Nguyên
354 Đinh Tiên Hoàng, Thuận Hóa, Huế
10 Quang Trung, Than Uyên, Lai Châu
657 Phan Đình Phùng, Quảng Trị, Quảng Trị
244 Phạm Văn Đồng, An Khê, Gia Lai
777 Hoàng Văn Thụ, Hòa An, Cao Bằng
61 Võ Thị Sáu, Mộc Châu, Sơn La
722 Trần Phú, Cửa Lò, Nghệ An
706 Lê Lợi, Diễn Châu, Nghệ An
15 Trần Phú, Châu Đốc, An Giang
171 Lý Thường Kiệt, Hưng Yên, Hưng Yên
261 Hai Bà Trưng, Văn Lâm, Hưng Yên
151 Nguyễn Huệ, Thanh Hóa, Thanh Hóa
856 Hai Bà Trưng, Hưng Yên, Hưng Yên
511 Lý Thường Kiệt, Hồng Ngự, Đồng Tháp
777 Lê Duẩn, Long Hồ, Vĩnh Long
897 Lê Lợi, Lào Cai, Lào Cai
453 Phan Đình Phùng, Đại Từ, Thái Nguyên
772 Phan Đình Phùng, Biên Hòa, Đồng Nai
375 Nguyễn Trãi, Ea Kar, Đắk Lắk
607 Nguyễn Văn Cừ, Phong Thổ, Lai Châu
675 Hai Bà Trưng, Hữu Lũng, Lạng Sơn
657 Nguyễn Trãi, Krông Pắc, Đắk Lắk
555 Trần Hưng Đạo, Sơn Tịnh, Quảng Ngãi
772 Cách Mạng Tháng Tám, Hương Thủy, Huế
421 Trần Phú, Chi Lăng, Lạng Sơn
50 Lê Lợi, Uông Bí, Quảng Ninh
302 Nguyễn Thái Học, U Minh, Cà Mau
367 Hai Bà Trưng, Bảo Lộc, Lâm Đồng
710 Lý Thường Kiệt, Hàm Yên, Tuyên Quang
771 Nguyễn Huệ, Sơn Tịnh, Quảng Ngãi
179 Nguyễn Du, Cà Mau, Cà Mau
180 Nguyễn Văn Cừ, Hồng Bàng, Hải Phòng
220 Quang Trung, Nha Trang, Khánh Hòa
868 Võ Thị Sáu, Chư Păh, Gia Lai
71 Lê Duẩn, Vinh, Nghệ An
207 Trần Phú, Ngô Quyền, Hải Phòng
421 Trần Phú, Lai Châu, Lai Châu
161 Phạm Văn Đồng, Đức Hòa, Tây Ninh
626 Trần Phú, U Minh, Cà Mau
712 Nguyễn Du, Vinh, Nghệ An
333 Quang Trung, Tuần Giáo, Điện Biên
433 Nguyễn Du, Hồng Lĩnh, Hà Tĩnh
966 Phạm Văn Đồng, Ngũ Hành Sơn, Đà Nẵng
855 Nguyễn Văn Cừ, Lạng Sơn, Lạng Sơn
163 Nguyễn Văn Cừ, Krông Pắc, Đắk Lắk
245 Phạm Văn Đồng, Kim Sơn, Ninh Bình
587 Phạm Văn Đồng, Ninh Hòa, Khánh Hòa
446 Nguyễn Văn Cừ, Sa Đéc, Đồng Tháp
60 Hai Bà Trưng, Nha Trang, Khánh Hòa
917 Nguyễn Huệ, Cửa Lò, Nghệ An
103 Trần Phú, Phú Thọ, Phú Thọ
862 Quang Trung, Đức Hòa, Tây Ninh
997 Hai Bà Trưng, Điện Biên, Điện Biên
619 Nguyễn Trãi, Đức Trọng, Lâm Đồng
311 Võ Thị Sáu, Vĩnh Long, Vĩnh Long
753 Nguyễn Du, Tuyên Quang, Tuyên Quang
461 Nguyễn Văn Cừ, Thái Nguyên, Thái Nguyên
807 Hoàng Văn Thụ, Vinh, Nghệ An
116 Nguyễn Thái Học, Đức Phổ, Quảng Ngãi
553 Cách Mạng Tháng Tám, Đức Phổ, Quảng Ngãi
172 Phan Chu Trinh, Tam Điệp, Ninh Bình
246 Quang Trung, Quế Võ, Bắc Ninh
737 Phan Chu Trinh, Thanh Sơn, Phú Thọ
744 Quang Trung, Kỳ Anh, Hà Tĩnh
292 Cách Mạng Tháng Tám, Đông Hà, Quảng Trị
703 Nguyễn Du, Ninh Hòa, Khánh Hòa
466 Nguyễn Du, Tuần Giáo, Điện Biên
842 Phạm Văn Đồng, Tư Nghĩa, Quảng Ngãi
910 Hai Bà Trưng, Bình Minh, Vĩnh Long
818 Nguyễn Trãi, Mang Thít, Vĩnh Long
799 Lê Duẩn, Pleiku, Gia Lai
801 Lê Duẩn, Sơn La, Sơn La
138 Phan Đình Phùng, Khoái Châu, Hưng Yên
956 Đinh Tiên Hoàng, Uông Bí, Quảng Ninh
132 Trần Phú, Yên Phong, Bắc Ninh
787 Nguyễn Huệ, Điện Biên, Điện Biên
782 Võ Thị Sáu, Quảng Trị, Quảng Trị
879 Lê Lợi, Khoái Châu, Hưng Yên
888 Quang Trung, Lâm Thao, Phú Thọ
29 Cách Mạng Tháng Tám, Sa Pa, Lào Cai
409 Hai Bà Trưng, Hương Trà, Huế
844 Nguyễn Trãi, Lấp Vò, Đồng Tháp
876 Lý Thường Kiệt, Phú Thọ, Phú Thọ
655 Nguyễn Du, Văn Lâm, Hưng Yên
548 Lê Duẩn, Đầm Dơi, Cà Mau
610 Quang Trung, Quảng Ngãi, Quảng Ngãi
686 Đinh Tiên Hoàng, Thuận Hóa, Huế
501 Lê Duẩn, Thái Nguyên, Thái Nguyên
83 Lê Duẩn, Hồng Ngự, Đồng Tháp
38 Trần Hưng Đạo, Tuyên Quang, Tuyên Quang
201 Phạm Văn Đồng, Thuận Hóa, Huế
467 Trần Hưng Đạo, Đại Từ, Thái Nguyên
870 Nguyễn Văn Cừ, Cửa Lò, Nghệ An
275 Phạm Văn Đồng, Châu Đốc, An Giang
117 Trần Phú, Nho Quan, Ninh Bình
694 Phan Đình Phùng, Cửa Lò, Nghệ An
356 Nguyễn Văn Cừ, Phú Thọ, Phú Thọ
218 Lê Duẩn, Trảng Bom, Đồng Nai
663 Nguyễn Du, Ninh Hòa, Khánh Hòa
157 Phan Chu Trinh, Lạng Sơn, Lạng Sơn
175 Lý Thường Kiệt, Cao Bằng, Cao Bằng
288 Võ Thị Sáu, Krông Pắc, Đắk Lắk
417 Trần Phú, Mộc Châu, Sơn La
524 Trần Phú, Lạng Sơn, Lạng Sơn
87 Hai Bà Trưng, Điện Biên Phủ, Điện Biên
298 Nguyễn Văn Cừ, Sông Công, Thái Nguyên
988 Lý Thường Kiệt, Phú Xuân, Huế
437 Lý Thường Kiệt, Biên Hòa, Đồng Nai
798 Quang Trung, Phú Thọ, Phú Thọ
109 Phan Đình Phùng, Thuận Hóa, Huế
476 Trần Hưng Đạo, Tam Đường, Lai Châu
308 Trần Phú, Lê Chân, Hải Phòng
22 Trần Phú, Khoái Châu, Hưng Yên
622 Lê Duẩn, Ayun Pa, Gia Lai
875 Hoàng Văn Thụ, Tư Nghĩa, Quảng Ngãi
982 Lý Thường Kiệt, Sa Đéc, Đồng Tháp
925 Hoàng Văn Thụ, Diễn Châu, Nghệ An
843 Nguyễn Huệ, Cao Lộc, Lạng Sơn
961 Cách Mạng Tháng Tám, Diên Khánh, Khánh Hòa
613 Cách Mạng Tháng Tám, Ayun Pa, Gia Lai
827 Trần Hưng Đạo, Krông Pắc, Đắk Lắk
150 Hoàng Văn Thụ, Sông Công, Thái Nguyên
715 Lê Duẩn, Pleiku, Gia Lai
900 Trần Phú, Cao Lộc, Lạng Sơn
19 Võ Thị Sáu, Yên Phong, Bắc Ninh
204 Lê Lợi, Đông Hà, Quảng Trị
64 Phạm Văn Đồng, Than Uyên, Lai Châu
3 Lê Lợi, Yên Phong, Bắc Ninh
942 Nguyễn Thái Học, Krông Pắc, Đắk Lắk
16 Trần Hưng Đạo, Trùng Khánh, Cao Bằng
833 Nguyễn Du, Hồng Bàng, Hải Phòng
674 Hoàng Văn Thụ, Tư Nghĩa, Quảng Ngãi
672 Võ Thị Sáu, Bình Minh, Vĩnh Long
717 Nguyễn Trãi, Sơn Tịnh, Quảng Ngãi
129 Nguyễn Huệ, Nhơn Trạch, Đồng Nai
947 Phan Chu Trinh, Kim Sơn, Ninh Bình
470 Nguyễn Huệ, Bình Thủy, Cần Thơ
526 Nguyễn Trãi, Bát Xát, Lào Cai
121 Võ Thị Sáu, Tân An, Tây Ninh
133 Lê Duẩn, Đức Phổ, Quảng Ngãi
145 Cách Mạng Tháng Tám, Uông Bí, Quảng Ninh
940 Lê Duẩn, Hà Tĩnh, Hà Tĩnh
834 Trần Hưng Đạo, Tư Nghĩa, Quảng Ngãi
721 Lý Thường Kiệt, Bát Xát, Lào Cai
104 Phan Đình Phùng, Kiến An, Hải Phòng
223 Lê Lợi, Hà Tĩnh, Hà Tĩnh
973 Phạm Văn Đồng, Phổ Yên, Thái Nguyên
472 Lê Duẩn, Cao Bằng, Cao Bằng
962 Hai Bà Trưng, Điện Biên, Điện Biên
384 Nguyễn Văn Cừ, Mường Lay, Điện Biên
649 Đinh Tiên Hoàng, Lào Cai, Lào Cai
95 Lê Lợi, Phổ Yên, Thái Nguyên
288 Lê Duẩn, Kim Sơn, Ninh Bình
139 Trần Phú, Tư Nghĩa, Quảng Ngãi
550 Lê Duẩn, Nguyên Bình, Cao Bằng
81 Nguyễn Huệ, Sông Công, Thái Nguyên
295 Cách Mạng Tháng Tám, Chư Păh, Gia Lai
977 Nguyễn Văn Cừ, Đông Hà, Quảng Trị
818 Phạm Văn Đồng, Diễn Châu, Nghệ An
451 Phan Chu Trinh, Ngũ Hành Sơn, Đà Nẵng
190 Nguyễn Huệ, Lào Cai, Lào Cai
942 Lý Thường Kiệt, Cao Lãnh, Đồng Tháp
941 Lê Duẩn, Hải Châu, Đà Nẵng
918 Nguyễn Huệ, Uông Bí, Quảng Ninh
998 Phan Chu Trinh, Hồng Lĩnh, Hà Tĩnh
125 Trần Phú, Quảng Trị, Quảng Trị
420 Nguyễn Du, Bình Thủy, Cần Thơ
184 Hoàng Văn Thụ, Ninh Hòa, Khánh Hòa
817 Hai Bà Trưng, Đà Lạt, Lâm Đồng
71 Nguyễn Văn Cừ, Bến Lức, Tây Ninh
474 Nguyễn Huệ, Trảng Bom, Đồng Nai
97 Đinh Tiên Hoàng, Thái Nguyên, Thái Nguyên
213 Phan Đình Phùng, Văn Lâm, Hưng Yên
909 Quang Trung, Cam Ranh, Khánh Hòa
231 Quang Trung, Sơn Trà, Đà Nẵng
878 Phạm Văn Đồng, Bảo Thắng, Lào Cai
693 Nguyễn Thái Học, Sơn La, Sơn La
916 Phan Đình Phùng, Uông Bí, Quảng Ninh
903 Lê Duẩn, Uông Bí, Quảng Ninh
878 Lê Lợi, Đại Từ, Thái Nguyên
283 Nguyễn Thái Học, Đại Từ, Thái Nguyên
645 Trần Hưng Đạo, Bình Minh, Vĩnh Long
756 Lê Lợi, Ea Kar, Đắk Lắk
762 Nguyễn Thái Học, Mường Lay, Điện Biên
440 Võ Thị Sáu, Đông Hà, Quảng Trị
703 Phan Đình Phùng, Từ Sơn, Bắc Ninh
262 Phan Chu Trinh, Tuyên Quang, Tuyên Quang
320 Cách Mạng Tháng Tám, Mang Thít, Vĩnh Long
814 Nguyễn Huệ, Bảo Lộc, Lâm Đồng
577 Phạm Văn Đồng, Đại Từ, Thái Nguyên
851 Trần Hưng Đạo, Vĩnh Linh, Quảng Trị
508 Lê Duẩn, Chi Lăng, Lạng Sơn
605 Phan Đình Phùng, Thái Nguyên, Thái Nguyên
266 Trần Phú, Nghi Xuân, Hà Tĩnh
684 Trần Hưng Đạo, Kỳ Anh, Hà Tĩnh
96 Phan Đình Phùng, Cao Lộc, Lạng Sơn
885 Nguyễn Du, Thuận Hóa, Huế
493 Hai Bà Trưng, Lạng Sơn, Lạng Sơn
191 Nguyễn Trãi, Thái Nguyên, Thái Nguyên
199 Trần Phú, U Minh, Cà Mau
674 Trần Hưng Đạo, Sa Pa, Lào Cai
89 Cách Mạng Tháng Tám, Long Xuyên, An Giang
912 Nguyễn Du, Cư M'gar, Đắk Lắk
440 Trần Phú, Đức Hòa, Tây Ninh
936 Trần Hưng Đạo, Hương Thủy, Huế
273 Lý Thường Kiệt, Bình Minh, Vĩnh Long
171 Nguyễn Thái Học, Kiến An, Hải Phòng
571 Nguyễn Văn Cừ, Kiến An, Hải Phòng
367 Cách Mạng Tháng Tám, Lấp Vò, Đồng Tháp
770 Phạm Văn Đồng, Hưng Yên, Hưng Yên
280 Nguyễn Du, Nghi Lộc, Nghệ An
248 Nguyễn Du, Trùng Khánh, Cao Bằng
259 Quang Trung, Tuyên Quang, Tuyên Quang
762 Hai Bà Trưng, Mỹ Hào, Hưng Yên
213 Trần Hưng Đạo, Ngô Quyền, Hải Phòng
846 Hoàng Văn Thụ, Từ Sơn, Bắc Ninh
581 Trần Hưng Đạo, Lấp Vò, Đồng Tháp
722 Nguyễn Huệ, Móng Cái, Quảng Ninh
123 Lê Lợi, Mang Thít, Vĩnh Long
256 Nguyễn Du, Nghi Lộc, Nghệ An
786 Lê Lợi, Ô Môn, Cần Thơ
33 Lê Lợi, Lê Chân, Hải Phòng
329 Lý Thường Kiệt, Nho Quan, Ninh Bình
930 Phan Chu Trinh, Hưng Yên, Hưng Yên
922 Lê Duẩn, Sơn La, Sơn La
548 Trần Hưng Đạo, Ô Môn, Cần Thơ
